char_no	character	location	singular/plural
92450	Captain Wentworth	Kellynch	singular
92605	Mr Musgrove	Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
92957	Anne	Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
93221	Mary	Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
93292	Captain Wentworth	Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
93398	eldest boy	Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
93852	the father/Mr Musgrove	Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
93899	the mother/Mary	Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
93924	the servants	Uppercross/the Cottage/The Cottage/Cotttage/cottage	plural
93956	youngest child	Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
94335	apothecary	Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
94677	Mr Robinson/apothecary	Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
94927	two young aunts	Uppercross/the Cottage/The Cottage/Cotttage/cottage	plural
97552	father/his father/Mr Musgrove/Mr Musgrove's father	Uppercross/the Great House/Great House	singular
98355	Mary	the room/room/Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
98355	Mr Musgrove/Charles/Charles Musgrove	the room/room/Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
98403	Anne	the room/room/Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
100331	Jemima	Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
101934	Mr Musgrove/Charles/Charles Musgrove	dressing-room/Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
101934	Mary	dressing-room/Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
101934	Anne	dressing-room/Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
103442	Frederick Wentworth/Captain Wentworth	half a mile distant/Uppercross	singular
105126	Mary and Anne	Uppercross/the Cottage/The Cottage/Cotttage/cottage	plural
105126	Mr Musgrove/Charles/Charles Musgrove	Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
105842	others	Uppercross/the Cottage/The Cottage/Cotttage/cottage	plural
106040	Captain Wentworth/Frederick Wentworth	Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
106040	Mary	Uppercross/the Cottage/The Cottage/Cotttage/cottage	singular
106040	Miss Musgroves	Uppercross/the Cottage/The Cottage/Cotttage/cottage	plural
