char_no	character	location	singular/plural
148437	Miss Musgroves/Henrietta/Louisa/Henrietta and Louisa	Uppercross/Cottage/the Cottage	plural
148437	Anne	Uppercross/Cottage/the Cottage	singular
148437	Mary	Uppercross/Cottage/the Cottage	singular
149107	the gentlemen	Uppercross/Cottage/the Cottage	plural
150535	Captain Wentworth/Frederick Wentworth	Uppercross	singular
150683	Henrietta	Uppercross	singular
150683	Louisa	Uppercross	singular
153095	Mary	Winthrop	singular
153276	Henrietta	Winthrop	singular
153276	Mr Musgrove/Charles/Charles Musgrove	Winthrop	singular
153387	Louisa	Winthrop	singular
154487	Captain Wentworth/Frederick Wentworth	Winthrop	singular
155467	Anne	Winthrop	singular
160645	Charles Hayter	Winthrop	singular
162645	Admiral	the gate of exit	singular
162645	Admirals wife	the gate of exit	singular
163337	Captain Wentworth/Frederick Wentworth	the gate of exit	singular
163443	Anne/Miss Elliot	the lane	singular
167171	Anne	Uppercross/Cottage/the Cottage	singular
167171	Admiral	Uppercross/Cottage/the Cottage	singular
167171	Admirals wife	Uppercross/Cottage/the Cottage	singular
