char_no	character	location	singular/plural
389741	She/Anne	home	singular
390063	Elizabeth	home	singular
390084	Mrs Clay	home	singular
392006	Anne	the room	singular
392006	Mr Elliot	the room	singular
396178	Anne	the room	singular
396178	Sir Walter	the room	singular
396178	Elizabeth	the room	singular
396178	Mr and Mrs Charles Musgrove	the room	plural
398393	Mrs Harville, her children, and Captain Benwick, remained with Mr Musgrove and Louisa	Uppercross	plural
405294	Anne	White Hart	singular
405294	Charles and Mary	White Hart	plural
405405	Mrs Musgrove and her daughter	White Hart	plural
405681	Henrietta	White Hart	singular
407022	Anne	White Hart/dining-room	singular
407022	Mrs Musgrove	White Hart/dining-room	singular
407022	Charles	White Hart/dining-room	singular
407022	Captains Harville and Wentworth	White Hart/dining-room	plural
408277	Mary	White Hart/dining-room	singular
409270	two or three of the lady visitors	White Hart/dining-room	plural
415869	Sir Walter and Miss Elliot	White Hart/dining-room	plural
419252	Anne	Camden Place	singular
419252	Elizabeth and Mrs Clay	Camden Place	plural
