char_no	character	location	singular/plural
129488	Captain Wentworth/Frederick Wentworth	Kellynch	singular
130895	Charles Hayter	Uppercross	singular
133689	Anne	Kellynch	singular
134293	Mr Musgrove/Charles/Charles Musgrove	Uppercross/Cottage/the Cottage	singular
134333	Mary	Uppercross/Cottage/the Cottage	singular
136923	Mary	Uppercross/Cottage/the Cottage/room/the room	singular
136923	Anne	Uppercross/Cottage/the Cottage/room/the room	singular
140870	Captain Wentworth/Frederick Wentworth	Uppercross/Cottage/the Cottage/drawing-room	singular
140954	Anne	Uppercross/Cottage/the Cottage/drawing-room	singular
140954	Charles/little Charles	Uppercross/Cottage/the Cottage/drawing-room	singular
142208	Charles Hayter	Uppercross/Cottage/the Cottage/drawing-room	singular
144681	Miss Musgroves	Uppercross/Cottage/the Cottage/drawing-room	plural
