112489	Captain Wentworth/Frederick Wentworth	Uppercross/drawing-room at Uppercross/drawing-room	singular
112489	Anne	Uppercross/drawing-room at Uppercross/drawing-room	singular
113408	two Miss Musgroves/Miss Musgroves	Uppercross	plural
113807	Mrs Musgrove	Uppercross	singular
115134	Admiral	Uppercross	singular
120615	Mrs Musgrove	Uppercross/sofa	singular
120615	Anne	Uppercross/sofa	singular
120615	Captain Wentworth/Frederick Wentworth	Uppercross/sofa	singular
123212	Sophia	Uppercross	singular
125152	Miss Hayters	Uppercross	plural
128080	Henrietta and Louisa	Uppercross	plural
